"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"project__PROJECT_MORE_INFO"	"agency_index__aid"	"institution_index__inst_id"	"institution_data__INSTITUTION_NAME"
" 72503"	"Yield from beef carcases across the classification grid "	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/beef-carcase-yield/"	"2008"	"2009"	"Carcase classification provides a description of a carcase to facilitate trade.  This is linked to the commercial value of carcases, based on an assumed relationship with yield of saleable meat for specific market requirements. A considerable amount of work was undertaken in the early 1980s relating conformation and fat class to carcase lean meat percentage and yield.  An objective assessment of the relationship between classification scores and meat yield has not been undertaken, however, since that time.  In that intervening period market requirements have changed, in particular in relation to trimming specifications.  Furthermore, the type of cattle produced has been changing.  Of particularly note is the change in the genetic make-up of the dairy herd, where Holstein genes now predominate.   Project Aims:   "	"The work was carried out in a commercial cutting facility in collaboration with an industry partner.  Overall, 200 beef sides were selected to cover the central portion of the classification grid based on the distribution of prime beef in the grid in England, with those cells with 2% or more of the population forming the basis of the selection, plus -U4H cattle to complete the central portion of the grid. Sides were individually broken down to trimmed primals, lean trim, fat trim and bone and waste using a commercial butchery specification. Regression analysis was carried out to establish the yields of primals by classification class. Results: Both fat class and conformation class have significant effects on the yield of saleable meat from the carcase with a difference in yield of 11% of the side weight when moving from U-2 to O-4H for example.  For an average carcase weight from this sample (289.2kg) this represents a difference of 31.8kg.  Even on the cautious assumption that all the additional weight is trim, at a wholesale value of £3.30 for 93% VL trim (commercial price as at April 2011) this represents £104.94 per carcase. Fat trim makes up the majority of difference in saleable yield between sides of different classification scores. While visual carcase classification has some disadvantages, these results clearly show that it remains a useful tool for the assessment of carcase value. This project has given an improved understanding of the link between classification and yield.  This will help industry assess the value of carcases and enable abattoirs to better reward for those carcases that have higher inherent value (and penalise those that have lower value).  This information also informs the discussion on the value of other carcase assessment methods (e.g. VIA) by providing a benchmark against which any added value of other methods can be compared.   Planned activity: Calculator has been created and added to EBLEX trade website: www.qsmbeefandlamb.co.uk/yield-calculator     "	"146"	"-1"	"Eblex Technical Team"
" 619001"	"Survey of beef quality at retail outlets "	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/beef-retail-survey/"	"2010"	"2010"	"A wide range of factors can influence the eating quality of beef available to consumers.  Delivering optimum quality relies on the adoption of a whole chain approach. It is relatively easy to identify whether some practices are in place, for example hip suspension.  It is less easy to identify whether the less obvious requirements (eg maturation period) have been adopted.  If they have, supplier monitoring may be insufficient to ensure that they are adhered to. The EBLEX Board is concerned that there is an undesirable, and avoidable, degree of variation in the toughness of English beef at retail. This project is aimed at identifying whether such variation exists at the major multiple retailers in two important beef cuts.  The sampling of English beef at retail also provides the opportunity to undertake some analyses to verify the origin of that beef. One factor that may influence that eating quality of beef is variation in the age of animals at slaughter.  While a definitive determination of animal age is not possible from a meat sample, an examination of collagen cross-linking can provide information on the variation in physiological age.   Project Aims: To sample beef from 6 multiple retailer outlets and undertake the following assessments:   "	"This project involved sampling beef from major retail outlets and undertaking shear force tests for toughness, as well as a range of tests to assess the origin and variation in age of the beef.   Results: The results showed considerable variability in the toughness of beef from English abattoirs available at retail in England.  While beef of good quality is available from all supply chains, variation means that there are unacceptably tough samples in several multiple retailer offerings.  Those retailers specifying hip suspension, have generally lower shear values than those with other post-slaughter procedures. The Bos Indicus test results show that this is not contributing to this range in toughness.  Origin results suggest all the beef sampled is of British origin, and collagen cross links suggest extreme animal age is not a factor.   Planned activity: Individual abattoir companies will be briefed on their own results.  These results underpin EBLEX’s approach to knowledge transfer on meat eating quality.   "	"146"	"-1"	"Eblex Internal"
" 7299"	"Formerly known as Controlled Origin British Beef "	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/british-beef-origin-project/"	"2008"	"2010"	"Consumers in the UK are increasingly interested in regional foods. The reasons for this vary from a) patriotism; b) decreased confidence in the quality and safety of food produced outside their local region or country; c) characteristic organoleptic or culinary qualities or d) concerns about food miles‘. Our objective is to use established techniques to augment an existing authentic beef database of multi-isotopic and multi-element measurements.  Inclusion of representative samples from England, Scotland and Wales will permit the regional origin of British Beef to be confirmed.   Project Aims: To develop a database for verification of beef origin using multi-Isotope and multi-Element analysis.   "	"The approach was to source beef samples from Wales and Scotland to supplement a database already held on English beef samples.  These were then analysed for isotopic ratios and trace elements.  Multivariate statistical approaches have been used to separate the regions of the UK.   Results: The separation of regions was reasonably successful although the border areas present difficulties. Full results will be available when the final report is received.   Planned activity: There is no specific plan for EBLEX to take this forward, although the database could be used to test if meat has been imported from South America for example. "	"146"	"-1"	"Ifr Norwich"
""	"Dentition in Cattle"	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/dentition-in-cattle/"	""	""	""	"A project to assess across a large population of slaughter cattle the stages of dental development and it use as a proxy measure for age. A paper has been prepared submitted to the journal Animal for publication. For more information on this project contact Phil Hadley . "	"146"	"-1"	""
" 72505"	"Comparison of three methods of packaging for the ageing/maturation of beef "	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/dry-ageing-of-beef/"	"2009"	"2009"	"It is widely accepted that the maturation or ageing of beef improves its eating quality. Flavour also increases during ageing and there is an argument that “dry ageing? results in better flavour than “wet ageing.? Prior to the development of vacuum packaging, meat was dry-aged. Dry aging consists of placing unpackaged meat in a chiller  under controlled temperature, humidity and airflow. Wet ageing is widely used in commercial beef production in England. This involves storage of the meat in vacuum packs, usually for 7 to 21 days. The main disadvantage of dry ageing is the weight loss as a result of two main factors: evaporative loss resulting in reduced water content of the meat (considered an important component of the improved quality) and discolouration/desiccation of externally exposed muscle, which requires trimming. To counter this, dry ageing in a bag that is highly permeable to water vapour has been investigated.   Project Aims: 1. To compare the weight loss and eating quality of beef sirloin subjected to traditional dry ageing, vacuum packaged ageing in a standard vacuum pouch and ageing in a permeable bag.   "	"Ageing was carried out in a commercial plant using sections of loin matured by the three methods: not packaged for maturation; vacuum packaged in standard vacuum pouch; and vacuum packaged in permeable film. The weight losses (evaporative and trim losses) were assessed at the end of ageing. Loin sections were subjected to sensory analysis at the University of Bristol.   Results:  The ageing of meat in permeable packaging resulted in a marked improvement in yield, although standard vacuum packaging reduces this further.  The flavour developed was similar to that from traditional dry aging, which was not liked by the University of Bristol sensory panel.  In fact the “abnormal flavour” of the permeable bag product was higher than traditional dry aging which was higher than vacuum pack.  It could be concluded  that ageing in a permeable bag mimics the flavour development of dry aged beef while reducing weight loss.  It would be prudent to undertake evaluation with target consumers before implementing any changes in practice.   "	"146"	"-1"	"Eblex Technical Team"
" 72504"	"Assessment of contamination from CNS on bovine head meat "	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/head-meat-contamination/"	"2008"	"2009"	"Prior to May 2006, bovine heads from animals aged over twelve months were classified as SRM in the UK but this was revoked when the beef export ban was lifted and the same regulations were applied to all EU member states. However, there is no information on the prevalence or amount of CNS contamination of heads and head meat from cattle slaughtered in UK abattoirs and therefore no basis for an assessment of public health risk from these sources should a slaughtered animal be carrying the BSE infectious agent. There are many factors that have potential to introduce substantial variability in the degree of contamination of head meat, including abattoir practices and subsequent moving and storage of heads if harvesting meat is performed off-line or in separate premises.  Currently head meat can only be removed in the abattoir but there is the potential to allow head meat to be removed in licensed cutting plants.  The data generated in this study will help inform decisions on future guidelines.   Project Aims:   "	"A comprehensive evaluation of the contamination of bovine heads and head meat by CNS material will be based on current industry practices and on a simulation of procedures that would be used if heads were processed at cutting plants. Contamination will be quantified using CNS marker protein(s) and will be measured on head meat after different handling and harvesting methods.   Results: The commercially available Ridascreen® Risk material 10/5 test kit, sold by R-Biopharm Ltd, was selected for use in this project. A comprehensive validation of this kit was performed, which included optimisation of the kit parameters to produce reliable and reproducible data, correlation of % CNS tissue to concentration of glial fibrillary acidic protein (GFAP), calibration using a traceable source of GFAP and accurate estimation of the limit of detection. Brain stem homogenates were used for quality assurance purposes to establish good and reproducible recoveries of added CNS material. To date, this has not been done in a quantitative manner by other workers in this field. Data produced in the validation of the kit showed that the optimised R-Biopharm kit was: To accompany the optimised R-Biopharm kit for the determination of CNS tissue, a swabbing protocol for use in busy abattoirs was developed. This involved the investigation and optimisation of swab type, swab area, swabbing medium, number of swabs to take, successive extractions, swab equilibration period and swab stability. The developed swabbing protocol was successfully tested in this project and it has been shown that it can be easily transferred for use on a busy abattoir processing line. A comprehensive assessment of current industry practice was conducted, which revealed that wide range of practices are in use for the removal and handling of head meat. Information was collected on all aspects of slaughter and dressing considered to be have the potential to influence contamination of head meat with CNS material, and details of head meat harvesting procedures including: Variations in practice in these four main areas were used to construct two scenarios based on hypothetical risk of contamination (high and low) and were studied in two abattoirs with very different operating practices. In addition, the GFAP load on head meat samples after different handling and harvesting methods were studied, including storage, transport and unloading of heads to mimic best practise movement of heads from an abattoir to a cutting plant‘. The results obtained demonstrate that: The project has shown that CNS contamination of head meat does occur during normal processing of carcases at abattoirs and that the marker protein GFAP can be detected on some heads. Not using bungs in the shooting hole significantly increased the CNS contamination of head meat on the line.  Brain stem sampling does not increase the contamination of CNS material of cheek meat on heads on the kill line. For harvested cheek meat, however, brain stem sampling does increase the contamination of CNS material but the concentrations obtained were not significant when compared to the results obtained for the normal‘ processing of heads.  None of the other processes studied; storage and, transport and unloading increased the amount of CNS contamination of heads and head meat from cattle slaughtered in UK abattoirs. The project has been successful in fulfilling its aim of providing a scientific basis for an assessment of the movement of heads and the consequences for public health risk from the consumption of cheek meat harvested from heads transported, using best practice, to cutting plants.   Planned activity: None.  We were subcontractors in this project. "	"146"	"-1"	"University of Bristol"
" 72506"	"NIR hyperspectral imaging to predict beef quality, including sub-projects Potential of Raman Spectroscopy Consumer Assessment of ‘NIR Hyperspectral Imaging "	"http://beefandlamb.ahdb.org.uk/research/meat-eating-quality-and-safety/meat-eating-quality-and-safety-beef/hyperspectral-imaging/"	"2009"	"2009"	"Despite careful process control of pH/temperature decline and correct implementation of electrical stimulation and other post slaughter processes (aitch bone hanging, aging times) there is a still a considerable range in beef tenderness.  In order to guarantee tenderness for specific markets it is necessary to have an additional means of selecting tender carcases.  Recent work in the USA described the potential for the on-line application of near infrared reflectance (NIR) to predict tenderness.  Quality grades for beef in the USA are based on marbling score and there is a much greater range of marbling in the USA than in the UK.  Similar NIR equipment has been evaluated in GB in an earlier trial funded by EBLEX to evaluate for prediction of tenderness in carcases with a lower range of marbling.  The results of this trial show that although NIR can predict tenderness as measured by shear force, further evaluation is required.  It was decided that hyperspectral imaging should be evaluated as it provides more information than standard NIR. The opportunity was also taken to evaluate RAMAN spectroscopy.   Project Aims:   "	"Hyperspectral imaging involves scanning the cut surface of meat.  This gives a large amount of information, and forms a compositional map of the subcutaneous fat, intermuscular fat, intramuscular fat (marbling) and connective tissue.  The technology allows the different components to be separated.  This means it may be possible to develop a rapid on-line method to predict fatty acid profiles which may benefit human health. Information on fat cover and eye muscle area/lean tissue area obtained from the hyperspectral image could be used to predict carcase yield and lean meat percentage. Raman spectroscopy involves shining a laser of specific wavelength at meat and measuring the light scattered due to changes in the vibration of molecules.  Modern technological advances both in optic design and computing/software have lead to the development of both bench top and portable Raman spectrometers.  Raman spectroscopy has the advantage that, unlike near-infrared spectroscopy, it is not influenced by water content of the material and may be better suited to use on high water content foods such as meat.  This project will use the same carcases used in the evaluation of NIR hyperspectral imaging, allowing a comparison of the two techniques. Samples from the same animals were subjected to Hyperspectral imaging, RAMAN Spectroscopy and laboratory assessments of quality as well as consumer evaluation.   Results: NIR hyperspectral imaging showed that, by using an absorbance band at a specific range of wavelengths, the areas corresponding to lean and fat (marbling fat, intermuscular fat and subcutaneous fat) could be clearly identified. The distribution of fat and lean in an image of the forerib produced using spectral characteristics was almost identical to that seen in a colour image taken with a digital camera (Nikon D70). Prediction models for meat quality were developed based on the NIR characteristics of the total longissimus dorsi (LD) muscle surface, including areas of marbling fat, and also on the LD lean regions alone, excluding the marbling fat. The spectral characteristics of the marbling fat were used to predict fatty acid profiles in the muscle. Prediction models were developed by using data sets of both unbloomed and bloomed samples independently, and combined spectra of both bloomed and unbloomed samples. Prediction of Warner-Bratzler Shear Force (WBSF) using the total LD area (including marbling) was marginally better when the bloomed spectra were used (R 2 = 0.61 WBSF at 14 day aging: R 2 = 0.49 WBSF at 21 day aging) than when the unbloomed or combined spectra were used. Using the total LD spectra, prediction of eating quality attributes at 14 days aging ranged from R 2 = 0.44 for overall liking (bloomed spectra) to R 2 = 0.53 for juiciness (bloomed spectra). The coefficients of determination (R 2 ) for prediction models developed using the spectra of the LD lean (excluding marbling fat) were generally of a similar order to the models developed using the spectra of the total LD. The spectra of the total LD (including marbling) resulted in good prediction of intramuscular fat (IMF), with the best prediction model obtained using the unbloomed samples (R 2 = 0.74). Using the total LD spectra the best prediction model for total saturated fatty acids (SFA) (R 2 = 0.68) was obtained from the combined (unbloomed and bloomed) spectra model, whilst the best prediction of total monounsaturated fatty acids (MUFA) (R 2 = 0.80) was obtained from unbloomed samples. Prediction of total polyunsaturated fatty acids (PUFA) and conjugated linoleic acid (CLA) using the total LD spectra was generally poorer than for SFA and MUFA.   The prediction models for most fatty acid groups such as SFA, MUFA and CLA obtained from the spectra of the marbling fat were improved by using the spectra with identified marbling fat with an area more than 50 pixels (R 2 = 0.66 SFA, R 2 = 0.58 MUFA and R2 = 0.65 CLA). However, this did not improve the R 2 value in the prediction model for PUFA (R 2 = 0.48) for which the best result was obtained from the unbloomed spectra (R 2 = 0.53). The use of identified marbling fat with an area more than 50 pixels generally eliminated the factors such as noise, misclassified pixels and also the fat adhering to the meat surface. Using Raman spectroscopy, prediction of WBSF values and consumer assessed eating quality was poor. The only statistically significant model was the prediction of juiciness, which only explained 9% of the variation in the data (R 2 = 0.09). Raman spectroscopy showed greater potential for the prediction of intramuscular fat content (R 2 = 0.23), marbling score (R 2 = 0.41), MUFA (R 2 = 0.26), SFA (R 2 = 0.25) and CLA (R 2 = 0.19). The low prediction ability of the Raman spectra to predict quality aspects may be due to the spectrometer not operating optimally. A statistically significant logistic regression model was developed which showed that consumers in the trial rated LD muscle with a WBSF value of 5.4 kg force or less as 70% acceptable.   Conclusion: NIR hyperspectral imaging offers potential for improved prediction of shear force, fatty acid composition and sensory traits of beef. Further discussions are underway with the researchers to establish the next steps in making this NIR technology suitable for online application.   "	"146"	"-1"	"Campden Bri, Agriculture Food and Biosciences Institute"
